coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Wed Jul 21 07:28:18 +0000 2021,,,,0,1417748252947095553,,,,pl,,,,285,1417745772829978631,bbudka,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skoro nie potrafili uszyć maseczek i zdefraudowali 260 milionów złotych, to myślicie, że odbudują Pałac Saski za ponad 2 miliardy?",https://twitter.com/eR17eL/status/1417748252947095553,Tue Oct 20 09:59:48 +0000 2015,4001217376,false,"Liberał. Ateista.
***** PiS",41671,996,1016,7,,Rafał Lesiecki,eR17eL,27610,,,false
,Wed Jul 21 07:29:25 +0000 2021,,,,8,1417748534649102337,bbudka,1417745772829978631,118739645,pl,,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@bbudka Jakieś pałace z pewnością odbuduja a nawet wybudują za te 2mld, ale nie będzie to pałac Saski, raczej pałac dla jakiegoś Obajtka",https://twitter.com/WWnioski/status/1417748534649102337,Sat Feb 23 13:17:17 +0000 2019,1099297143230291973,false,🇵🇱,38262,1338,1971,2,Polska,AG-to-be #SilniRazem,WWnioski,24450,,,false
,Wed Jul 21 07:38:09 +0000 2021,,,,0,1417750730593742848,,,,pl,,,,260,1417572311822184449,DariuszRosati,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pałac Saski nie jest żadnym szczególnie cennym polskim zabytkiem. Budowali go cudzoziemcy dla cudzoziemców, w tym głównie dla Niemców i Rosjan. Wywalanie 2,5 mld zł na odbudowę przeciętnej budowli kompletnie niepasującej do obecnego układu urbanistycznego nie ma żadnego sensu.",https://twitter.com/Chino4711/status/1417750730593742848,Wed Jun 17 09:35:21 +0000 2009,47909613,false,,12324,60,132,4,"Caribbean, SanEscobar",Chino ♋️,Chino4711,30327,,,false
,Wed Jul 21 07:39:07 +0000 2021,,,,0,1417750974891020288,,,,pl,,,,19,1417615538449231872,P_Gasiorowski,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pałac Saski zbudowali w XVIII w. sascy architekci Pöppelmann i Jauch dla Augusta II. Po śmierci Augusta III podupadł. W XIX w. właścicielami byli rosyjski kupiec Skwarcow i armia carska. Zasłużył się najbardziej w XX w. jako siedziba Biura Szyfrów. Co nagle zobaczył w nim PiS?,https://twitter.com/Iwonna14/status/1417750974891020288,Tue Oct 01 20:06:09 +0000 2019,1179125255249551360,false,ludzie pozbawieni poczucia humoru są niestrawni,147104,1661,1993,4,,Iwonna#POzwycięstwo🇪🇺,Iwonna14,71551,,,false
,Wed Jul 21 07:27:17 +0000 2021,,,,0,1417747996012384262,,,,pl,,,,8,1417413582476742656,PiotrGursztyn,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Dlaczego trzeba odtworzyć Pałac Saski?
Tak wyglądała Synagoga Stara zw. też Wielką w Wilnie. Całkowicie zburzona w czasie IIWŚ. Ma być odtworzona w ramach ""Programu odbudowy historycznego getta wileńskiego""
https://t.co/M9ZCifWvgj",https://twitter.com/manakoniec/status/1417747996012384262,Thu Feb 12 10:10:31 +0000 2015,3032356834,false,Wolna wewnętrznie. Już nic nie muszę,892242,4167,2240,58,3miasto,MałgNakonieczny,manakoniec,691351,,,false
,Wed Jul 21 07:23:16 +0000 2021,,https://twitter.com/OPodaje/status/1417746986208485376/photo/1,,0,1417746986208485376,bbudka,1417745772829978631,118739645,pl,,false,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@bbudka Pałac Saski, po wydaniu 2 500 000 000 przez @pisorgpl.
Wizualizacja optymistyczna. https://t.co/uAgupOEu60",https://twitter.com/OPodaje/status/1417746986208485376,Fri Nov 29 13:47:43 +0000 2019,1200410970222419970,false,,20617,126,273,1,"Gdańsk, Polska",Piotr Matuszczak,OPodaje,6181,,,false
,Wed Jul 21 07:24:57 +0000 2021,,,,0,1417747408381939714,,,,pl,,,,285,1417745772829978631,bbudka,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Skoro nie potrafili uszyć maseczek i zdefraudowali 260 milionów złotych, to myślicie, że odbudują Pałac Saski za ponad 2 miliardy?",https://twitter.com/ir_k_l/status/1417747408381939714,Wed Feb 13 10:41:09 +0000 2019,1095633972036554752,false,matkaPolkaliberałka 🇵🇱🇪🇺⚡  #ŚwieckiePaństwo,30657,236,428,0,z innych źródeł ,irl,ir_k_l,23719,,https://www.dlugpubliczny.org.pl/,false
,Wed Jul 21 07:29:32 +0000 2021,GośćWiadomości wieszwięcej,,https://www.tvp.info/54949423/kiedy-zostanie-odbudowany-palac-saski-padla-konkretna-data,0,1417748564751667200,,,,pl,,false,,41,1417579807727050752,tvp_info,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kiedy zostanie odbudowany Pałac Saski? Padła konkretna data #GośćWiadomości #wieszwięcej https://t.co/UO6hIRQ2kG,https://twitter.com/Tencowidzi/status/1417748564751667200,Fri Nov 13 15:11:10 +0000 2020,1327267683121901568,false,Wolność / Freedom!,9994,353,2107,0,,Tencowidzi 🇵🇱 🇺🇦🇬🇧🇺🇲🇨🇦,Tencowidzi,2896,,,false
,Wed Jul 21 07:36:26 +0000 2021,,,,0,1417750300459520005,,,,pl,,,,285,1417745772829978631,bbudka,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Skoro nie potrafili uszyć maseczek i zdefraudowali 260 milionów złotych, to myślicie, że odbudują Pałac Saski za ponad 2 miliardy?",https://twitter.com/DanielSleboda/status/1417750300459520005,Sun Dec 13 15:00:25 +0000 2015,4471303037,false,Żyję więc myślę. Inż . w stanie spoczynku.Najgorszy sort od urodzenia i dumny z tego. #SilniRazem,351349,7271,7301,44,"Wałbrzych, Polska",Daniel Śleboda #SilniRazem. #Trzaskowski2020.,DanielSleboda,203771,,,false
,Wed Jul 21 07:24:46 +0000 2021,,,,0,1417747361829466117,,,,pl,,,,8,1417723249014853633,SitdamDamian,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Czekam na oswiadczenie UE ze jak zaczniemy odbudowaywac Pałac Saski oni go zbombardują,https://twitter.com/manakoniec/status/1417747361829466117,Thu Feb 12 10:10:31 +0000 2015,3032356834,false,Wolna wewnętrznie. Już nic nie muszę,892242,4167,2240,58,3miasto,MałgNakonieczny,manakoniec,691351,,,false
